dexy - INFO - starting logging for dexy
dexy - INFO - using config file 'dexy.yaml'
dexy - INFO - (state:running) 32bb636196f91ed59d7a49190e26b42c bundle:assets: running...
dexy - INFO - (state:running) 1fefe51ec05ae4f6b1b9a4a5328c4573 pattern:*.css: running...
dexy - INFO - (state:running) f4f76afc77a9613e6bb3783216ed2f76 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/test/fixtures/expand/css/baz.css: running...
dexy - INFO - (state:running) 1ec39617246f5add73bdf959b4245ef3 doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/underscore.string/test/test_underscore/vendor/qunit.css: running...
dexy - INFO - (state:running) cf5198c10d5106bfc1003f992d81fc5c doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/qs/test/browser/qs.css: running...
dexy - INFO - (state:running) 01f4d0f4bc4df7e012506796b4105c37 doc:node_modules/grunt/node_modules/underscore.string/test/test_underscore/vendor/qunit.css: running...
dexy - INFO - (state:running) 4ad3ed33866144b5bb2c2e0fe724ab0b doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/node_modules/underscore.string/test/test_underscore/vendor/qunit.css: running...
dexy - INFO - (state:running) 6a6a912d0c7b55b537768da778032849 doc:css/style.css: running...
dexy - INFO - (state:running) fca38af1f2151513a5ea32422a4e2adc doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/test/fixtures/expand/css/qux.css: running...
dexy - INFO - (state:running) bda0c6c8e8438f33ff59f4a364da1714 doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/qs/test/browser/mocha.css: running...
dexy - INFO - (state:running) e83389bdd4d92df8e9bc65c5a3682c4f pattern:*.js: running...
dexy - INFO - (state:running) e858b59e7c4b67920b2d4fddad6dee97 doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/examples/help.js: running...
dexy - INFO - (state:running) cbaf5b914333511e4f228fe46cf7cdd0 doc:node_modules/grunt/node_modules/glob/test/nocase-nomagic.js: running...
dexy - INFO - (state:running) 02b354a511e13f9164771847735b0157 doc:node_modules/grunt/node_modules/findup-sync/node_modules/lodash/dist/lodash.underscore.js: running...
dexy - INFO - (state:running) d0085378902b453b800770c0fc898712 doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/node_modules/minimatch/node_modules/sigmund/bench.js: running...
dexy - INFO - (state:running) 7c86561994aa2c283c4c331c6ca31edf doc:node_modules/grunt/node_modules/which/which.js: running...
dexy - INFO - (state:running) 1cde9aaffe1a2769abaa3a8a3f87bf9b doc:node_modules/grunt/node_modules/eventemitter2/index.js: running...
dexy - INFO - (state:running) 17d8c0fd4f00751e885ee81f8f83b0c4 doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/underscore.string/test/strings_standalone.js: running...
dexy - INFO - (state:running) a5e3d11cf2115162c8d888ff47de8d74 doc:node_modules/grunt/node_modules/underscore.string/test/strings.js: running...
dexy - INFO - (state:running) 93bb1f272f6b4258047b15adb5247189 doc:node_modules/grunt/node_modules/coffee-script/lib/coffee-script/nodes.js: running...
dexy - INFO - (state:running) 0a7075faec8e8d2c31d214d49d413e42 doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/lodash/dist/lodash.js: running...
dexy - INFO - (state:running) d78165684c61555a7dd92dc7b68aaedf doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/type/omap.js: running...
